,user,Date Created,Tweet
26,ChibuikeAmaechi,2020-09-15 15:50:53+00:00,UPDATE: We have resolved to move the board meeting to a later date to give room for all 25 member states to sign the agreement adopted by the committee of experts and for representing ministers to get their various cabinet contributions and approvals within a stipulated timeline.
27,ChibuikeAmaechi,2020-09-15 12:47:56+00:00,"The decision for the establishment of this Bank must be assented to by all member states before take-off, and I've called for timely and absolute commitment to the project by member states.

The ongoing inaugural meeting also involves stakeholders and bureau of experts./2 https://t.co/4N1Dvrnix0"
28,ChibuikeAmaechi,2020-09-15 12:46:40+00:00,"I have just declared open the inaugural board meeting of the proposed Regional Maritime Development Bank taking place in Lagos, Nigeria under the auspices of the Maritime Organisation of West and Central Africa (MOWCA) which will cater to Maritime development across the region./1 https://t.co/04ripNirPn"
29,ChibuikeAmaechi,2020-09-05 19:36:32+00:00,"At the APC campaign flag-off in Ondo State today, for the re-election of Governor Rotimi Akeredolu. Vote wisely, Vote APC! https://t.co/2B6TwoWHDT"
30,ChibuikeAmaechi,2020-08-29 16:17:25+00:00,https://t.co/sS4r1dV2oY
31,ChibuikeAmaechi,2020-08-29 14:34:26+00:00,https://t.co/kTYnZrXuA5
32,ChibuikeAmaechi,2020-08-29 14:32:45+00:00,I've further proposed that 2 primary schools and a secondary school be factored into the project design and construction to accommodate the wards of lecturers and other staff who will work at the University from other parts of the country and abroad. https://t.co/oQjCsyk5f8
33,ChibuikeAmaechi,2020-08-29 14:32:41+00:00,"Inspecting the site of the University of Transportation in Daura today, CCECC agreed to begin major construction by the end of September with TEAM offering to provide consultancy project monitoring service for free. We also paid homage to the Emir of Daura, Alh Umar Farooq Umar. https://t.co/lBcjcHMnCd"
34,ChibuikeAmaechi,2020-08-24 09:53:18+00:00,"Rest assured that Christ won’t abandon you, because there are very few men like you in Nigeria. God bless Akin! 2/2"
35,ChibuikeAmaechi,2020-08-24 09:53:17+00:00,"I join the millions of admirers of @ProfAkinAbayomi to wish him a speedy recovery. You have worked so hard that you should see this as a call to rest, so that when you resume, you’ll be reinvigorated. 1/2"
36,ChibuikeAmaechi,2020-08-15 09:42:58+00:00,Inspecting the work being done at the Apapa axis of the Lagos-Ibadan standard gauge rail line. Fulfilling our promise to connect the rail line to the seaport. https://t.co/k04427yAiT
37,ChibuikeAmaechi,2020-08-08 19:22:01+00:00,"Today, we were at the official flag-off of the APC governorship campaign in Edo State, giving our full support to our candidate, Pastor Osagie Ize-Iyamu. 

Edo people, Vote APC, Vote Ize -Iyamu. https://t.co/erjzuIEki7"
38,ChibuikeAmaechi,2020-08-05 15:39:26+00:00,@dmightyangel @MinTransportNG Next two months.
39,ChibuikeAmaechi,2020-08-05 12:21:55+00:00,I have said that these are standard clauses in international commercial agreements. We have been keeping to our repayment plans and we will repay our loans. https://t.co/XGnakdgQsq
40,ChibuikeAmaechi,2020-08-01 14:48:54+00:00,"There is no contract without an agreement and that agreement must contain some terms. No country will sign away its sovereignty. You only give a sovereign guarantee.

See full video here: https://t.co/unYKgh8hDh https://t.co/E4kPTonFaf"
41,ChibuikeAmaechi,2020-07-31 17:52:38+00:00,"Tune in to AIT at 7pm tonight. I’ll be on; and hopefully you’ll get a clearer perspective on some issues, projects and implementation."
42,ChibuikeAmaechi,2020-07-29 10:34:39+00:00,"On resumption of activities at the Idu train station today, we monitored compliance of passengers and staff to the new rules. So far, people are complying with the face masks, but we’ll still be on hand to enforce these rules. #AbujaKaduna https://t.co/15tXl0JIyl"
43,ChibuikeAmaechi,2020-07-28 21:25:27+00:00,"I'll be on the programme, ‘NTA Tuesday Live’ in a few minutes, giving more insight on our projects and activities at the Ministry of Transportation. Tune in if you can."
44,ChibuikeAmaechi,2020-07-25 15:04:52+00:00,https://t.co/HEUrwdg33q
